time,base total profit
0.0,0.000000e+00
0.5,-2.792997e+05
1.0,-4.482113e+05
1.5,-6.690113e+05
2.0,-9.050787e+05
2.5,-1.149082e+06
3.0,-1.346344e+06
3.5,-1.453063e+06
4.0,-1.455525e+06
4.5,-1.361978e+06
5.0,-1.190236e+06
5.5,-9.592508e+05
6.0,-6.857834e+05
6.5,-3.821029e+05
7.0,-5.667807e+04
7.5,2.848876e+05
8.0,6.390495e+05
8.5,1.003657e+06
9.0,1.377465e+06
9.5,1.759799e+06
10.0,2.150332e+06
10.5,2.548949e+06
11.0,2.955662e+06
11.5,3.370554e+06
12.0,3.793752e+06
12.5,4.225409e+06
13.0,4.665694e+06
13.5,5.114783e+06
14.0,5.572862e+06
14.5,6.040118e+06
15.0,6.198603e+06
15.5,6.322958e+06
16.0,6.393907e+06
16.5,6.466578e+06
17.0,6.549799e+06
17.5,6.657427e+06
18.0,6.795782e+06
18.5,6.880129e+06
19.0,6.944944e+06
19.5,7.031585e+06
20.0,7.134853e+06
20.5,7.202537e+06
21.0,7.270707e+06
21.5,7.363603e+06
22.0,7.492478e+06
22.5,7.636228e+06
23.0,7.750306e+06
23.5,7.845136e+06
24.0,8.081365e+06
24.5,8.239877e+06
25.0,8.340253e+06
25.5,8.437259e+06
26.0,8.555185e+06
26.5,8.723101e+06
27.0,8.882731e+06
27.5,9.087823e+06
28.0,9.284421e+06
28.5,9.410659e+06
29.0,9.589984e+06
29.5,9.708600e+06
30.0,9.879025e+06
30.5,1.000117e+07
31.0,1.013233e+07
31.5,1.025858e+07
32.0,1.044971e+07
32.5,1.058792e+07
33.0,1.078012e+07
33.5,1.092512e+07
34.0,1.105866e+07
34.5,1.119755e+07
35.0,1.138574e+07
35.5,1.152924e+07
36.0,1.164743e+07
36.5,1.186448e+07
37.0,1.204646e+07
37.5,1.227888e+07
38.0,1.241322e+07
38.5,1.255102e+07
39.0,1.268523e+07
39.5,1.287970e+07
40.0,1.303114e+07
40.5,1.325299e+07
41.0,1.348042e+07
41.5,1.360022e+07
42.0,1.376405e+07
42.5,1.391858e+07
43.0,1.405335e+07
43.5,1.421906e+07
44.0,1.440429e+07
44.5,1.453438e+07
45.0,1.474833e+07
45.5,1.488836e+07
46.0,1.502799e+07
46.5,1.525155e+07
47.0,1.540890e+07
47.5,1.557749e+07
48.0,1.569973e+07
48.5,1.589561e+07
49.0,1.603028e+07
49.5,1.614434e+07
50.0,1.626992e+07
50.5,1.640119e+07
51.0,1.650174e+07
51.5,1.666213e+07
52.0,1.680572e+07
52.5,1.696482e+07
53.0,1.706632e+07
53.5,1.720309e+07
54.0,1.732774e+07
54.5,1.746311e+07
55.0,1.758183e+07
55.5,1.779421e+07
56.0,1.791080e+07
56.5,1.803951e+07
57.0,1.819457e+07
57.5,1.829758e+07
58.0,1.842722e+07
58.5,1.858332e+07
59.0,1.871352e+07
59.5,1.880983e+07
60.0,1.894301e+07
60.5,1.904087e+07
61.0,1.916803e+07
61.5,1.931254e+07
62.0,1.947344e+07
62.5,1.961720e+07
63.0,1.972947e+07
63.5,1.989166e+07
64.0,2.009099e+07
64.5,2.024570e+07
65.0,2.035909e+07
65.5,2.048039e+07
66.0,2.062744e+07
66.5,2.073458e+07
67.0,2.083244e+07
67.5,2.097441e+07
68.0,2.114412e+07
68.5,2.123463e+07
69.0,2.134109e+07
69.5,2.147882e+07
70.0,2.160664e+07
70.5,2.174543e+07
71.0,2.187122e+07
71.5,2.202085e+07
72.0,2.212631e+07
